GRID_ID,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Sample,Surveyed2017,Surveyed2022,Grouping1,Grouping2,propFire5_2022,propFire20_2022,meanHumanMod_2022,meanNDVI_2022,Copeland_Inman,ClusterCells,SDMayDepth_2022,meanMayDepth_2022,SDMaySWE_2022,meanMaySWE_2022
9396,CO Site-126,Colorado,CO,-888543.8478,2019584.066,No,No,No,SouthernRockies,Zeroes,0.15,0.29,2.70175004,50.59999847,0.88,45,391.4398575,1757.765217,171.0668416,722.9459106
9400,CO Site-057,Colorado,CO,-822762.1286,2015588.718,No,No,No,SouthernRockies,Zeroes,0.06,0.06,3.202069998,24,0.82,45,212.1604575,928.6728863,84.94048254,338.2826141
9401,CO Site-133,Colorado,CO,-815267.1988,2012750.88,No,No,No,SouthernRockies,Zeroes,0.66,0.66,5.748650074,46.09999847,0.64,45,252.9310078,885.9433526,54.12049845,306.2844757
9392,CO Site-030,Colorado,CO,-941130.5671,2032075.415,Yes,No,Yes,SouthernRockies,Zeroes,0.01,0.02,4.984700203,42.29999924,0.58,45,411.2481383,730.9659942,188.5261963,294.2224121
9393,CO Site-014,Colorado,CO,-929616.6373,2035156.578,Yes,No,Yes,SouthernRockies,Zeroes,0.01,0.01,5.79433012,43,0.62,45,350.6551149,604.4162319,156.2853866,233.6877151
9272,CO Site-046,Colorado,CO,-888630.6851,2008410.137,Yes,No,Yes,SouthernRockies,Zeroes,0.07,0.07,5.264570236,71.19999695,0.82,45,410.9914647,1800.568023,174.2591636,756.086145
9276,CO Site-029,Colorado,CO,-833998.9658,2000845.788,Yes,No,Yes,SouthernRockies,Zeroes,0.07,0.07,7.388609886,57.70000076,0.95,45,154.563263,831.8562319,45.78412907,303.040271
8900,CO Site-102,Colorado,CO,-899429.1967,1964209.347,No,No,No,SouthernRockies,Zeroes,0.13,0.13,4.560850143,70.5,0.7,45,228.8931402,853.3813411,116.840169,322.6253967
8905,CO Site-137,Colorado,CO,-823191.5477,1952572.161,No,No,No,SouthernRockies,Zeroes,0.03,0.03,11.10429955,38.59999847,0.59,45,143.0894807,409.0838323,42.32342676,143.3951523
8906,CO Site-005,Colorado,CO,-806616.6179,1945045.324,Yes,No,Yes,SouthernRockies,Zeroes,0,0,0.917173028,38.59999847,0.99,45,310.2206706,1291.941935,130.4535635,455.1780182
9024,CO Site-078,Colorado,CO,-894803.3595,1977405.277,No,No,No,SouthernRockies,Zeroes,0.1,0.16,4.977729797,65.90000153,0.93,45,295.1577578,1141.75731,146.8309662,447.1471497
9026,CO Site-141,Colorado,CO,-867834.4999,1975427.603,No,No,No,SouthernRockies,Zeroes,0.01,0.02,5.184289932,52.20000076,0.81,45,193.4702119,878.8284058,52.31670135,342.2324524
9027,CO Site-085,Colorado,CO,-847102.5701,1969471.765,No,No,No,SouthernRockies,Zeroes,0.64,0.64,5.785830021,42.20000076,0.62,45,329.8908612,952.1830904,96.37142573,360.3574768
9028,CO Site-069,Colorado,CO,-836861.6402,1966463.928,No,No,No,SouthernRockies,Zeroes,0.77,0.77,5.666140079,51.90000153,0.91,45,329.2080344,1100.059824,112.4368428,413.0582458
9029,CO Site-049,Colorado,CO,-816713.7104,1968241.091,No,No,No,SouthernRockies,Zeroes,0.41,0.41,11.74969959,45,0.81,45,215.2863535,731.0115942,77.2255698,265.656134
9030,CO Site-129,Colorado,CO,-801974.7807,1963302.254,No,No,No,SouthernRockies,Zeroes,0.01,0.02,4.640210152,22.29999924,0.81,45,367.4286239,1055.576744,116.5632511,353.2455475
9518,CO Site-070,Colorado,CO,-911727.8702,2039166.671,No,No,No,SouthernRockies,Zeroes,0.02,0.04,7.068180084,70.90000153,0.73,45,238.5957456,772.4823188,87.79800716,287.2870697
9519,CO Site-058,Colorado,CO,-899356.9404,2040488.834,No,No,No,SouthernRockies,Zeroes,0.17,0.3,4.628799915,58.5,1,45,393.7464774,1393.447839,144.9131923,568.3803772
9520,CO Site-086,Colorado,CO,-881184.0106,2036543.996,No,No,No,SouthernRockies,Zeroes,0.12,0.17,2.097029924,58.5,0.83,45,359.770129,1546.981503,157.5727577,636.2931824
9523,CO Site-045,Colorado,CO,-834344.2212,2028483.485,Yes,No,Yes,SouthernRockies,Zeroes,0.05,0.09,6.342860222,49.20000076,0.6,45,196.7096975,612.6631884,65.16917986,223.9413116
9525,CO Site-041,Colorado,CO,-812765.3615,2023212.81,Yes,No,Yes,SouthernRockies,Zeroes,0.06,0.06,7.629469872,49,0.81,45,339.1177625,1104.24186,81.89276188,395.9840515
9643,CO Site-134,Colorado,CO,-898946.1032,2052177.763,No,No,No,SouthernRockies,Zeroes,0.05,0.05,3.75770998,44.70000076,0.96,45,349.8344473,1312.08415,111.987819,532.2559875
9644,CO Site-142,Colorado,CO,-883351.1733,2048352.926,No,No,No,SouthernRockies,Zeroes,0.46,0.46,5.931369781,57.79999924,0.61,45,277.3609851,1101.569452,85.38955267,436.5563293
